Taylor Swift,How many albums does Taylor Swift have?,10,100
Taylor Swift,What is Taylor Swift's 2nd album named?,Fearless,200
Taylor Swift,What song (abbreviation) in Taylor Swift's discography is 10 minutes long?,ATW,300
Taylor Swift,In what year did her self-titled album get released,2005,400
Taylor Swift,How many cats does Taylor Swift own,3,500
Taylor Swift,What is Taylor Swift's 10th album?,Midnights,600
Taylor Swift,What is Taylor Swift's middle name?,Allison,700
Taylor Swift,How many grammys has Taylor won?,12,800
Taylor Swift,What album is Taylor's most streamed song from?,1989,900
Taylor Swift,Where did Taylor Swift recieve her doctorate?,NYU,1000
